24/02/2015 11:20,30/04/2015 13:10,22/06/2015 07:31,20/10/2015 09:18
92.8536,96.3869,96.9837,104.8191
91.8084,95.6826,96.3344,103.6979
93.3221,97.17039,96.67419,104.6446
91.7464,97.4165,97.4068,104.3136
93.4146,97.3928,97.604,104.5342
96.6092,99.0555,99.5204,104.2556
96.2741,97.5046,100.0998,105.0092
96.2696,97.526,100.8912,103.6108
96.021,98.3725,100.8836,100.5637
96.3468,100.3735,101.6584,101.2609
96.4279,100.1918,101.5783,101.416
96.5498,100.2664,100.4798,100.9166
97.4804,99.77299,100.1916,101.3843
95.219,100.5358,99.8017,100.6692
94.3046,100.0797,99.3258,100.2138
95.1372,99.80099,100.9686,100.9705
96.1069,99.3001,100.5668,100.6588
95.923,98.8432,98.69279,99.7812
96.9499,97.4608,99.0172,100.2613
98.7833,96.896,98.78841,100.5337
100.112,96.348,98.1819,100.9503
99.07961,96.0354,98.514,99.8073
98.8685,97.74541,98.1595,99.58791
97.947,98.4692,97.846,98.25439
99.4833,100.05,97.771,98.4087
97.8572,100.4971,96.1231,96.7421
97.9067,99.6525,96.932,96.0934
97.6336,99.1539,97.9724,96.6408
98.5037,97.9633,98.0772,95.8205
98.3754,98.09579,99.0246,96.4603
99.039,97.1736,100.0511,96.877
98.9056,97.3606,101.7991,98.3695
97.6579,97.2566,102.2105,98.6925
95.6839,97.8756,102.0835,100.9085
96.5341,99.2466,101.1904,101.2426
97.4546,98.3444,101.9455,101.4594
98.0482,99.1592,99.3254,99.8719
97.0224,98.2773,100.1921,100.1763
98.2621,99.0556,100.5604,99.23911
96.3586,96.7602,97.9431,99.19241
96.2975,98.2656,95.7959,99.1618
97.5034,97.0927,96.445,98.9724
96.23161,97.392,97.6912,99.751
94.67741,96.9489,99.8843,99.0176
97.2319,100.293,101.5428,99.4294
97.4471,99.1303,102.9617,99.8943
96.8917,98.4604,102.8368,100.7635
96.2887,98.8931,101.5065,100.0188
98.1817,98.0937,100.0393,100.4204
98.8579,96.9357,99.4387,98.8714
97.0149,95.652,99.8373,99.40511
95.9841,95.8851,100.5376,96.9098
