Normal 0,Normal 1,Normal 2,Normal 3,Normal 4,Normal 5,Normal 6,Normal 7,Normal 8,Normal 9,Normal 10,Normal 11,Normal 12,Normal 13,Normal 14,Normal 15,Normal 16,Normal 17
92.8536,,,,,,,,,,,,,104.8191,,,,
91.8084,,,,,,,,,,,,,103.6979,,,,
93.3221,,,,,,,,,,,,,104.6446,,,,
91.7464,,,,,,,,,,,,,104.3136,,,,
93.4146,,,,,,,,,,,,,104.5342,,,,
96.6092,,,,,,,,,,,,,104.2556,,,,
96.2741,,,,,,,,,,,,,105.0092,,,,
96.2696,,,,,,,,,,,,,103.6108,,,,
96.021,,,,,,,,,,,,,100.5637,,,,
96.3468,,,,,,,,,,,,,101.2609,,,,
96.4279,,,,,,,,,,,,,101.416,,,,
96.5498,,,,,,,,,,,,,100.9166,,,,
97.4804,,,,,,,,,,,,,101.3843,,,,
95.219,,,,,,,,,,,,,100.6692,,,,
94.3046,,,,,,,,,,,,,100.2138,,,,
95.1372,,,,,,,,,,,,,100.9705,,,,
96.1069,,,,,,,,,,,,,100.6588,,,,
95.923,,,,,,,,,,,,,99.7812,,,,
96.9499,,,,,,,,,,,,,100.2613,,,,
98.7833,,,,,,,,,,,,,100.5337,,,,
100.112,,,,,,,,,,,,,100.9503,,,,
99.07961,,,,,,,,,,,,,99.8073,,,,
98.8685,,,,,,,,,,,,,99.58791,,,,
97.947,,,,,,,,,,,,,98.25439,,,,
99.4833,,,,,,,,,,,,,98.4087,,,,
97.8572,,,,,,,,,,,,,96.7421,,,,
97.9067,,,,,,,,,,,,,96.0934,,,,
97.6336,,,,,,,,,,,,,96.6408,,,,
98.5037,,,,,,,,,,,,,95.8205,,,,
98.3754,,,,,,,,,,,,,96.4603,,,,
99.039,,,,,,,,,,,,,96.877,,,,
98.9056,,,,,,,,,,,,,98.3695,,,,
97.6579,,,,,,,,,,,,,98.6925,,,,
95.6839,,,,,,,,,,,,,100.9085,,,,
96.5341,,,,,,,,,,,,,101.2426,,,,
97.4546,,,,,,,,,,,,,101.4594,,,,
98.0482,,,,,,,,,,,,,99.8719,,,,
97.0224,,,,,,,,,,,,,100.1763,,,,
